38,今生い立ち関係ないやろ,imaoitatikankeinaiyaro
39,田村裕が服を着ています 珍しい,tamurahirosigahukuwokiteimasumezurasii
40,お前それマリリンモンローやんけ！,omaesoremaririnmonro-yanke
41,そこは普通まずシャケやろ,sokohahutuumazusyakeyaro
42,ねっちょねっちょねっちょねっちょする,nettyonettyonettyonettyosuru
43,たしかにそうかもしれん,tasikanisoukamosiren
44,ドアのここはなにを冷やすねん,doanokokohananiwohiyasunen
45,昼は漫才して夜はポン酢冷やしてか,hiruhamanzaisiteyoruhaponzuhiyasiteka
46,向かいのホーム路地裏の窓そんなとこにいるはずもないのに,mukainoho-muroziuranomadosonnatokoniiruhazumonainoni
47,夜ベロンベロン朝チリンチリン俺の体ガリガリや,yoruberonberonasatirintirinorenokaradagarigariya
48,焼き立てのメロンパン売り切れんだろ,yakitatenomeronpanurikirendaro
49,ちょっとなにいってるかわかんない,tyottonaniitterukawakannai
50,エジプト 砂漠の真ん中でバウムクーヘン食べ放題ツアー,eziputosabakunomannakadebaumuku-hentabehoudaitua-
51,ピラニアと行こうアマゾン川背泳ぎツアー,piraniatoikouamazongawaseoyogitua-
52,僕ちゃんとピッツァって言いました,bokutyantopizzatteiimasita
53,おもてたんとちがーーーう,omotetantotiga---u
54,落合信子研究会,otiainobukokenkyuukai
55,君はいい子だね僕は鳥人だよ,kimihaiikodanebokuhattijindayo
56,大体わかったからそれやらしてくれや,daitaiwakattakarasoreyarasitekureya
57,俺に勝とうなんざ１００年早いんだよ,orenikatounanza100nenhayaindayo
58,安心せい峰打ちじゃ,ansinseimineutijya
59,炊事洗濯スノボ掃除に肩揉みスキューバ,suizisentakusunobosouzinikatamomisukyu-ba
60,先生の作った皿がマジでツボなんです,senseinotukuttasaragamazidetubonandesu
61,私比較的良い専門学校でてます,watasihikakutekiyoisenmongakkoudetemasu
62,この状況でね　民主党のこと考えるの　民主党にもいませんよ,konojyoukyoudeneminsyutounokotokangaerunominsyutounimoimasenyo
63,どうしたそこの平均体重底上げ担当大臣,dousitasokonoheikintaizyuusokoagetantoudaizin
64,ガキの頃見た街の変わり者にまさか自分がなってるとは,gakinokoromitamatinokawarimononimasakazibunganatterutoha
65,顔を菱形にしてやろうか,kaowohisigatanisiteyarouka
66,大丈夫だよ大丈夫、大丈夫だよ大丈夫、大丈夫だよ大丈夫、大丈夫だよ大丈夫、大丈夫なの大丈夫だよ、大丈夫か大丈夫だ、大丈夫なの大丈夫だよ、大丈夫なのか大丈夫だよ、大丈夫なのですか大丈夫だよ、大丈夫ですかねえ大丈夫ですよ、大丈夫か大丈夫です、大丈夫なの大丈夫ですよ、大丈夫か大丈夫だ、大丈夫なのかね大丈夫だよ、大丈夫なの大丈夫だよ、大丈夫か大丈夫だろ、大丈夫なの大丈夫か、大丈夫ですか大丈夫だよ、大丈夫なの大丈夫、大丈夫大丈夫,daizyoubudayodaizyoubudaizyoubudayodaizyoubudaizyoubudayodaizyoubudaizyoubudayodaizyoubudaizyoubunanodaizyoubudayodaizyoubukadaizyoubudadaizyoubunanodaizyoubudayodaizyoubunanokadaizyoubudayodaizyoubunanodesukadaizyoubudayodaizyoubudesukaneedaizyoubudesuyodaizyoubukadaizyoubudesudaizyoubuna
67,料理界の川越シェフは川越シェフだけや,ryourikainokawagoeshehuhakawagoeshehudakeya
68,式抜け出すより戻る方が大変やで,sikinukedasuyorimodoruhougataihenyade
69,どうしたらいいのじゃなくてどうしたいの,dousitaraiinozyanakutedousitaino
70,雷坊主の添い寝節,kaminaribouzunosoinebusi
71,料理のさしすせみ,ryourinosasisusemi
72,バブって言うほどガキやない　公文行くほど大人やない　五歳ど真ん中走らせてもうてます,babutteiuhodogakiyanaikumonikuhodootonayanaigosaidomannakahasirasetemoutemasu
73,とても五七五では語れねぇな,totemo575dehakatareneena
74,家族のトーナメント表,kazokunoto-namentohyou
75,痛くないように叩いてますからね,itakunaiyounitataitemasukarane
76,わかってんのかあんた上下迷彩やで,wakattennokaantajyougemeisaiyade
77,さがせさがせ指輪が逃げる,sagasesagaseyubiwaganigeru
78,ウンチくんでゆるキャラはもうそれ下痢やから,untikundeyurukyarahamousoregeriyakara
79,雨降ったら終わりですからね,amehurasittaraowaridesukarane
80,なんですか日馬富士ですか,nandesukaharumahuzidesuka
81,なんで一番偉いのに書記やねん,nandeitibanerainonisyokiyanen
82,えみちゃん待っててねぇー,emityanmattetenee-
83,おいボラギノールのCMか,oiboragino-runocmka
84,夜行バスのテンション,yakoubasunotensyon
85,お前人殺したんか,omaehitokorositanka
86,１１、１２、１３、１４冷房強すぎる,11121314reiboutuyosugiru
87,is is is this this is this this,i-yahahahakorekorehakorekore
88,もし俺が謝ってこられてきてたとしたら絶対に認められてたと思うか,mosioregaayamattekoraretekitetatositarazettainimitomeraretetatoomouka
89,煽り運転の申し子,aoriuntennomousigo
90,激弱のバチェラー,gekiyowanobachera-
91,今ベルマークを頂きましたけどもね,imaberuma-kuwoitadakimasitakedomone
92,こんなんなんぼあってもいいですからね,konnannanboattemoiidesukarane
93,キャラ芸人になるしかなかったんだ,kyarageininninarusikanakattanda
94,急に正面が変わったのか,kyuunisyoumengakawattanoka
95,となりのトトロ一回も見たことない,tonarinototoroikkaimomitakotonai
96,ねるねるねるねの２の粉,neruneruneruneno2nokona
97,最中の大食いギネス記録は２,monakanoooguiginesukirokuha2
98,だーれも今最中の口なってないのよ,da-remoimamonakanokutinattenainoyo
99,消しゴムコスコスコスコスパーティー,kesigomukosukosukosukosupa-thi-
100,親ポムポムプリンだろ,oyapomupomupurindaro
101,細かい犯罪気になるわ,komakaihanzaikininaruwa
102,それくらい誰だってやってるだろ,sorekuraidaredatteyatterudaro
103,お前このご時世なめんなよ,omaekonogoziseinamennayo
104,逃走中リタイアしただけで炎上する時代やぞ,tousoutyuuritaiasitadakedeenjyousurujidaiyazo
105,無料で漫画読めるサイト,muryoudemangayomerusaito
106,人妻とゲーセンでメダルゲームだけはすんなよ,hitozumatoge-sendemedaruge-mudakehasunnayo
107,無意識でやってしまいました,muisikideyattesimaimasita
108,ドンキーコングかなんかですか,donki-kongukanankadesuka
109,墓石を荒らすならず者たちよ,hakaisiwoarasunarazumonotatiyo
110,Good bye Sunday ほら来た Monday 休憩 Tuesday,goodbyesundayhorakitamondaykyuukeituesday
111,アルコール除菌 消毒 手洗い Remember,aruko-rujyokinsyoudokutearairemember
112,あの日のかな それともその日の奴かな,anohinokanasoretomosonohinoyatukana
113,火曜まで待ったぞ俺,kayoumademattazoore
114,絶対に笑わせたい人がいる男です,zettainiwarawasetaihitogairuotokodesu
115,レーズンパンは見た目で損してる,re-zunpanhamitamedesonsiteru
116,お笑い好きな子は仲良しコント師が好きなんだよ,owaraizukinakohanakayosikontosigasukinandayo
117,こっちは無作為に傷つけるお笑いやってんだから,kottihamusakuinikizutukeruowaraiyattendakara
118,さらば青春の光,sarabaseisyunnohikari
